	benchmark	hardware_vendor	system	#_cores	#_chips	#_cores_per_chip	processor_mhz	base_copies	result	baseline	published	days
0	CINT2006rate	Cisco Systems	Intel Xeon Silver 4112	8	2	4	2600	16	385	357	Sep-2017	6453
1	CINT2006rate	Cisco Systems	Intel Xeon Silver 4108	16	2	8	1800	32	671	636	Oct-2017	6483
2	CINT2006rate	Cisco Systems	Intel Xeon Silver 4110	16	2	8	2100	32	740	702	Sep-2017	6453
3	CINT2006rate	Cisco Systems	Intel Xeon Silver 4112	8	2	4	2600	16	448	424	Sep-2017	6453
4	CINT2006rate	Cisco Systems	Intel Xeon Silver 4114	20	2	10	2200	40	953	905	Sep-2017	6453
5	CINT2006rate	Cisco Systems	Intel Xeon Silver 4116	24	2	12	2100	48	1100	1050	Sep-2017	6453
6	CINT2006rate	Dell Inc.	Intel Xeon Silver 4108	16	2	8	1800	32	662	629	Aug-2017	6422
7	CINT2006rate	Dell Inc.	Intel Xeon Silver 4108	16	2	8	1800	32	663	629	Jul-2017	6391
8	CINT2006rate	Dell Inc.	Intel Xeon Silver 4109T	16	2	8	2000	32	665	633	Aug-2017	6422
9	CINT2006rate	Dell Inc.	Intel Xeon Silver 4110	16	2	8	2100	32	666	624	Aug-2017	6422
10	CINT2006rate	Dell Inc.	Intel Xeon Silver 4112	8	2	4	2600	16	401	380	Aug-2017	6422
11	CINT2006rate	Dell Inc.	Intel Xeon Silver 4114	20	2	10	2200	40	930	888	Aug-2017	6422
12	CINT2006rate	Dell Inc.	Intel Xeon Silver 4114	20	2	10	2200	40	857	802	Aug-2017	6422
13	CINT2006rate	Dell Inc.	Intel Xeon Silver 4108	16	2	8	1700	32	660	618	Sep-2017	6453
14	CINT2006rate	Dell Inc.	Intel Xeon Silver 4110	16	2	8	2100	32	715	682	Oct-2017	6483
15	CINT2006rate	Dell Inc.	Intel Xeon Silver 4114	20	2	10	2200	40	944	898	Oct-2017	6483
16	CINT2006rate	Dell Inc.	Intel Xeon Silver 4108	16	2	8	1700	32	662	628	Sep-2017	6453
17	CINT2006rate	Dell Inc.	Intel Xeon Silver 4109T	16	2	8	2000	32	709	674	Sep-2017	6453
18	CINT2006rate	Dell Inc.	Intel Xeon Silver 4110	16	2	8	2100	32	731	694	Sep-2017	6453
19	CINT2006rate	Dell Inc.	Intel Xeon Silver 4112	8	2	4	2600	16	441	418	Oct-2017	6483
20	CINT2006rate	Dell Inc.	Intel Xeon Silver 4114	20	2	10	2200	40	937	891	Sep-2017	6453
21	CINT2006rate	Dell Inc.	Intel Xeon Silver 4116	24	2	12	2100	48	1070	1020	Sep-2017	6453
22	CINT2006rate	Dell Inc.	Intel Xeon Silver 4116	24	2	12	2100	48	1090	1040	Sep-2017	6453
23	CINT2006rate	Dell Inc.	Intel Xeon Silver 4116	24	2	12	2100	48	0	1030	Sep-2017	6453
24	CINT2006rate	Dell Inc.	Intel Xeon Silver 4108	16	2	8	1700	32	662	628	Aug-2017	6422
25	CINT2006rate	Dell Inc.	Intel Xeon Silver 4109T	16	2	8	2000	32	709	673	Aug-2017	6422
